Question,Answer,Class
how can you transfer your saving account from one branch to another,"Following is the process to be followed to transfer your account from one branch to another: An account transfer form, signed by all applicants, given at any of our branches. We recommend that you submit the form at the branch that you want your account transferred to. There will be no change in your account number. You can continue to use your existing chequebook, debit card etc",accounts
what are the document required to open a new saving account,"In order to open a new Savings Account, simply walk into the nearest M&N  Bank and speak to a customer service executive. Remember to carry the following documents (original for verification and self-attested copies for submission): Identity Proof Address Proof Latest passport size photographs Click here to see the List of valid identity/addres proof.",accounts
what is the frequency of interest payout for a saving account,Interest earned on your Savings Account balance shall be credited to your account on Quarterly basis.,accounts
can i get a debit card linked to my institutional saving account,Yes. Business Debit Cards are issued to Authorised Signatories in the account. This is done provided the mode of operation is Ã¢â‚¬ËœSinglyÃ¢â‚¬â„¢ OR Ã¢â‚¬ËœEither or SurvivorÃ¢â‚¬â„¢ and the operating instructions allow the signatory to sign for amounts above Rs. 1.25 lakh. This is because the combined - ATM & POS - per day limit on the Business Debit Card is Rs.1.25 lakh.,accounts
what is the general documentation requirement to open an institutional saving account,The following documents are required: Account opening form for non-individuals to be completed and signed by all authorized signatories Registration proof with any state regulatory authorities Certificate of Registration with the Local Charities Commissioner (for charitable trusts) Income Tax registration u/s 12A for entities as specified in RBI circular Certified Copy of the Trust Deed / Bye-laws / MOA/ Constitution Proof of address of the Trust Certified Copy of the Resolution from Board of Trustees / governing body defining who is going to be the authorized signatory in the account / authorizing the opening and conduct of the account Proof of appointment of present Trustees/ governing body members in case they are not listed in the Trust Deed / bye-laws / constitutional document PAN Card / Form 60 as may be applicable FCRA declaration for receipt / non-receipt of foreign contribution into the account Beneficial Ownership declaration (only for Trusts) Proof of identity and photographs of all trustees authorised to operate the account View more,accounts
can unregistered institution open an institutional saving account,"No. Accounts of only registered trusts, societies, associations, clubs can be opened.",accounts
can transaction be done at any m n bank branch,Yes. You can transact at any M&N  Bank across the country. Charges as mentioned in the Fees and charges section will apply.,accounts
my institution will start receiving foreign contribution can i receive the same in the institutional saving account,No. The institutional Savings Account cannot be used for receiving foreign contribution. You will need to open a separate FCRA account for receiving foreign contribution.,accounts
can fund be credited to an fcra account simply after the account is opened,"No. Funds can be credited to the FCRA account only after the approval from Ministry of Home Affairs (MHA) is received for that account. Till then, the account will be blocked.",accounts
is there an amb average monthly balance declaration required to be submitted along with the document for an institutional saving account,No. There is no AMB declaration required since it is a Zero Balance Account.,accounts
can netbanking facility financial right be enjoyed by authorized signatory in the institutional saving account,Yes. We do offer NetBanking financial rights to authorized signatories. You need to fill up an application form along with a Board Resolution in order to avail this facility.,accounts
what is the amb average monthly balance requirement of the institutional saving account,An Institutional Savings Account is a ZERO BALANCE account.,accounts
do i need to close my account when my kid attains majority,"No, the existing account can be converted to a regular savings account. To convert the account the following will be required: AML section on the SB Regular AOF should be updated for the minor turned major Customers will also fill up the KidÃ¢â‚¬â„¢s Advantage account conversion form Identity Proof Address proof Photograph Proof of becoming major like Birth certificate, Passport etc",accounts
how long the standing instruction given will be valid,Please note that Standing Instruction to transfer any amount from your account to your Kid's Advantage account every month is a mandatory requirement for this account and is valid for a minimum tenure of 1 year. Post the same you need to submit a fresh request at nearest M&N  Bank branch to continue the standing instructions.,accounts
is the primary customer id of the kid advantage account will be same a my customer id,The primary Customer ID issued under your kids name for the Kid's Advantage account will be different from your Customer ID. You should use the primary customer ID to open the email statement you receive for your Kid's Advantage account.,accounts
what are the document required to open a woman saving account,To open a Savings Account you have to: Submit your identity proof and address proof along with your latest passport size photographs Submit self-attested copies and originals for verification View more,accounts
what is the procedure to follow if my debit card pin is blocked,"Please note that if you enter an incorrect PIN three times in the ATM, your access gets blocked for security reasons. It gets activated after 24 hours. Kindly use your Debit / ATM Card at the ATM after 24 hours with the same PIN available with you. If your account still remains inaccessible, please apply for new PIN. You can apply for regeneration of your ATM / Debit PIN in following ways: Fill-up the new PIN application form and submit it at any of our branches. On receipt of the form and successful verification, we will process a new ATM PIN and send it to your mailing address, as registered in our records. Submit a request at PhoneBanking, after validation with your Telephone Identification Number (TIN). For every PIN Regeneration request, charges of Rs. 50 + Service Tax + Educational Cess is applicable. For more details, Contact Us View more",cards
why is 2nd level authentication made mandatory for all card related online transaction,"All online card transactions, as per RBIÃ¢â‚¬â„¢s mandate, need to have a second level authentication when a transaction is made. Hence the cards need to be registered for Verified by Visa(VBV)or MasterCard Secure Code to complete an online transaction. A transaction can be carried out only on those websites that are Verified by Visa or MasterCard Secure Code enabled. Thus when you are making an online transaction on these websites you will be prompted to register for the service, if you have not registered till date. You can fill the required details and complete the transaction after registering. You can also register your card for Verified by Visa or MasterCard Secure Code here. View more",cards
can i use my debit card to pay online,Currently your Debit Card can be used to make purchases from online merchants who have the Verified by Visa/ MasterCard SecureCode certification displayed on their web site. Learn more about using your Debit card for making online purchases here.,cards
what should i do if my debit card is not working,"If there is a technical problem because of which your card is not working, we request you to contact us on our Phone Banking center or branch and hotlist/block the said card. Please make a request to issue a new card for your account which will be free of cost and should be delivered to you in 7 working days time once issued. For more details on PhoneBanking numbers and their timings, click here. For a comprehensive list of branches, click here. View more",cards
how do i enable international usage on my m n bank reward debit card,Please find below the steps to enable International Usage for you M&N  Bank Rewards Debit Card: Steps to Enable International Usage on Debit Card: Log on to NetBanking Click on Cards tab and go to Debit Cards menu Click on Request Select 'Set International / Domestic Usage' Select the option 'Card to be enabled for International and Domestic/ Use' Steps to Modify Daily International Usage on Debit Card Log on to NetBanking Click on Cards tab and go to Debit Cards menu Click on Request Select 'Modify International Limit' Set your daily international limit,cards
what are the debit card transaction fee if i swipe my card at petrol pump or railway station,"The following are the transaction charges applicable when you use the Debit Card at: Petrol pumps: Rs. 10 or 2.5% of the transaction amount (whichever is greater). Railway Stations: Flat charge of Rs. 30 per ticket + 1.8% of the transaction amount. IRCTC: Transaction charge of 1.8% of the transaction amount Please note that there are no transaction fees applicable at other merchant locations. These charges attract a Service Tax and an Swachh Bharat Cess as applicable, in terms with the current Finance Bill. View more",cards
what is the procedure to replace a damaged debit card,"We request you to contact the Bank using Phone Banking (available 24x7), where you can Hotlist your card immediately and simultaneously request for re-issuance of a new card. You may also submit a written instruction at the nearest branch to hotlist and re-issuance of ATM / Debit Card. Replacement/Reissuance Charges for Debit Cards - Rs. 200 + applicable taxes (W.e.f 1st DecÃ¢â‚¬â„¢16). For more details, Contact Us. View more",cards
why is the customer required to fill a cardholder dispute form cdf to report transaction dispute,"A duly filled in Cardholder Dispute Form (CDF) mentioning all the required details of the disputed transaction(s) and the exact nature of dispute, aids the Cardholder as well as the Bank to initiate accurate investigation with the respective Merchant / Member Bank.Pls click on link below to view the cardholder dispute form: http://www.M&N bank.com/assets/pdf/Cardholder_Dispute_Form.pdfNOTE: A detailed email mentioning all the required details and supporting documents (if any), as mentioned in the CDF, can also be written to [email protected]",cards
what is the time frame to resolve domestic atm transaction dispute,7 working days from receipt of the dispute.,cards
what is the time frame to report debit card transaction dispute,Transaction dispute needs to be reported in writing within 30 days from the transaction date.,cards
which document are to be submitted with respect to the disputed transaction,The Debit Cardholder must submit the following documents along with the dully filled Cardholder Dispute Form (CDF). Transaction typeDocuments to attached Transaction declined but funds are debited from the account Void charge-slip OR email/letter from merchant confirming transaction not completed Amount debited but payment made through an alternate mode Proof of payment by alternate mode Excess amount debited Proof of actual amount authorized/agreed with the merchant Transaction cancelled but refund from merchant not credited / Damaged goods/ Quality of the product or services is not as agreed Cancellation confirmation from the merchant/ refund confirmation It is strongly recommended to check if the amount has already been credited /adjusted into your e-wallet / subscriber account in case of ecommerce transactions.,cards
how do i report such related transaction dispute incurred using my debit card transaction,"We strongly recommended that for all service related disputes, the Debit Cardholder must first attempt to contact the merchant to resolve the dispute which enables prompt resolution. Considering all attempts have been made to resolve dispute with the merchant, you may call PhoneBanking team for raising exact nature of dispute and send relevant supporting document with respect to failed / disputed transactions with complete transaction(s) details to [email protected] ] OR submit the same at your nearest M&N  Bank branch.",cards
what is a service dispute,"Following transactions are categorized as service dispute. Transaction declined but funds are debited from the account Amount debited but payment made through an alternate mode Excess amount debited Transaction cancelled but refund from merchant not credited Dual Debits /Duplicate debits for the same merchant, amount, date and time Damaged goods/ Quality of the product or services is not as agreed.",cards
what is the time frame to resolve online international atm transaction dispute,Approximately 45 to 120 days from receipt of the dispute depending upon the relevant franchise's ( e.g. Visa / Master / Rupay / Diners etc.) dispute resolution cycle.,cards
are there charge i should know about imperium platinum chip debit card,"Another benefit of the EasyShop Platinum Debit card is that there are absolutely no transaction charges to worry about when shopping at a merchant location. Any Fuel surcharge levied will be reversed within 75 days from the date of levy of the surcharge(upto a maximum of Rs. 750 per month per card. You can use your card charge-free at all M&N  Bank ATMs, but remember to check the associated fees when using other bank ATMs. Please also remember that charges will be levied at Railway stations. This is as per industry practice. View more",cards
what should i do in the case of a void transaction imperium platinum chip debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here .,cards
where can i use my easyshop platinum debit card,"Just look for the Visa logo when shopping. If you'd like to use an ATM, it should have the Visa or PLUS logo. And remember, you can use your EasyShop Platinum Debit Card at all M&N  Bank ATMs just like a normal card.",cards
are there any transaction limit for imperium platinum chip debit card,"Depending on the balance in your account, it is possible to withdraw up to Rs. 1 lakh at the ATM daily, and spend Rs 2.75 lakhs daily. These limits have been set for your card security.",cards
what should i do in the case of a void transaction for platinum debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here .,cards
where can i use my easyshop platinum debit card,"Just look for the Visa logo when shopping. If you'd like to use an ATM, it should have the Visa or PLUS logo. And remember, you can use your EasyShop Platinum Debit Card at all M&N  Bank ATMs just like a normal card.",cards
are there transaction limit for platinum debit card,"Depending on the balance in your account, it is possible to withdraw up to Rs. 1 lakh at the ATM daily, and spend Rs. 2.75 lacs daily. These limits have been set for your card security.",cards
are there charge i should know about platinum debit card,"Another benefit of the EasyShop Platinum Debit card is that there are absolutely no transaction charges to when shopping at a merchant location. You can use your card charge-free at all M&N  Bank ATMs, but remember to check the associated fees when using other bank ATMs. Please also remember that charges will be levied at Railway stations. This is as per industry practice. The annual Charges for Easy Shop Platinum Debit Card is Rs.750 View more",cards
what should i do in the case of a void transaction for titanium royale debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here .,cards
where can i use my easyshop titanium royale debit card,"Just look for the MasterCard logo when shopping. If you'd like to use an ATM, it should have the Master or Cirrus logo. And remember, you can use your EasyShop Titanium Royale Debit Card at all M&N  Bank ATMs just like a normal card.",cards
are there charge i should know about titanium royale debit card,"Another benefit of the EasyShop Titanium Royale Debit card is that there are absolutely no transaction charges when shopping at a merchant location. Any Fuel surcharge levied will be reversed within 75 days from the date of levy of the surcharge(upto a maximum of Rs. 750 per month per card. You can use your card charge-free at all M&N  Bank ATMs, but remember to check the associated fees when using other bank ATMs. Please also remember that charges will be levied at Railway stations. This is as per industry practice. View more",cards
are there transaction limit for titanium royale debit card,"Depending on the balance in your account, it is possible to withdraw up to Rs. 75,000 at the ATM daily, and spend Rs 1.75 lacs daily. These limits have been set for your card security.",cards
what should i do in the case of a void transaction for gold debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here.,cards
how do i claim personal accident death cover for gold debit card,"Nominees and legal heirs should visit their nearest M&N  Bank branch. We will help with the documents required, and, when these are complete, we will liaise with the relevant insurance company to resolve the claim. This is a special service for our EasyShop Gold Debit Card holders. Remember to provide us with all documents within one month of death.",cards
where can i use my easyshop gold debit card,"Just look for the VISA logo when shopping, and if using an ATM check for the VISA/PLUS logo.",cards
are there extra charge for gold debit card,"You can be sure that there are no transaction charges when using your card at a merchant location. There are also no petrol surcharges, or fees for using an M&N  Bank ATM. Just remember to check for usage charge information if you access other bank ATMs.",cards
are there transaction limit for gold debit card,"Subject to the balance in your account, the daily limits are Rs. 50,000 at ATMs and Rs. 2.75 lacs at merchant locations. These limits have been set for the security of your card.",cards
where can i use my easyshop titanium debit card,"Your card can be used at all M&N  Bank ATMs, just like a normal card. When shopping at merchant locations, just look out for the MasterCard logo, and at ATMs check for the Master and Cirrus logo.",cards
are there any charge to be aware of for titanium debit card,Check the associated fees here.,cards
what are the transaction limit for titanium debit card,"The daily limits are Rs. 50,000 at the ATM and Rs. 1.75 lacs at merchant locations. This is subject to the balance in your account, and is for your account security.",cards
what should i do in the case of a void transaction for titanium debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here.,cards
what should i do in the case of a void transaction,Just fax us a copy of the void transaction slip. You can send it to one of our PhoneBanking numbers or your nearest M&N  Bank branch.,cards
what should i do in the case of a void transaction for international debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here.,cards
are there charge i should know about international debit card,"Another benefit of the EasyShop Platinum Debit card is that there are absolutely no transaction charges to when shopping at a merchant location. Fuel surcharge levied at select BPCL petrol pumps will be reversed within 75 days from the date of levy of the surcharge. Just make sure your card is swiped at M&N  BankÃ¢â‚¬â„¢s terminal to avail petrol surcharge waiver. You can use your card charge-free at all M&N  Bank ATMs, but remember to check the associated fees when using other bank ATMs. Please also remember that charges will be levied at Railway stations. This is as per industry practice. View more",cards
where can i use my easyshop international debit card,"Anywhere you see the Visa logo, and at any ATM displaying the Visa or PLUS logo. Remember, your card can be used at all M&N  Bank ATMs just like a normal ATM card.",cards
are there transaction limit for debit card,"A daily ATM limit of Rs. 25,000 for withdrawals, and Rs. 1,25,000 at merchant establishments .",cards
are there extra charge for international business debit card,"You can be sure that there are no transaction charges when using your card at a merchant location. There are also no petrol surcharges, or fees for using an M&N  Bank ATM. Just remember to check for usage charge information if you access other bank ATMs.",cards
where can i use my easyshop business debit card,"Just look for the MasterCard logo when shopping, and if using an ATM check for the MasterCard/Cirrus logo.",cards
what should i do in the case of a void transaction for international business debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here.,cards
are there transaction limit for business debit card,"Subject to the balance in your account, the daily limits are Rs. 50,000 at ATMs and Rs. 1.75 lacs at merchant locations. These limits have been set for the security of your card.",cards
what should i do in the case of a void transaction for woman advantage debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here.,cards
where can i use my easyshop advantage debit card,Your card will be valid the world over Ã¢â‚¬â€œ just look for the VISA sign.,cards
are there extra charge for woman advantage debit card,There are absolutely no transaction charges to think about when using your card at a merchant location. There are also no fees for using an M&N  Bank ATM. Just remember to check for usage charge information if you access other bank ATMs.,cards
what if woman advantage debit card is lost or stolen,You will not have any liability for fraudulent transactions.,cards
are there transaction limit for woman advantage debit card,"Subject to the balance in your account, the daily limits are Rs. 25,000 at ATMs and Rs. 1.25 lacs at merchant locations. These limits have been set for the security of your card.",cards
are there extra charge nro debit card,There are absolutely no transaction charges when using your card at a merchant location. Just remember that at petrol pumps and railways you will be charged as per industry practice.,cards
where can i use my easyshop nro debit card,"Look for the VISA logo at merchant locations, and the VISA/PLUS sign at ATMs.",cards
what should i do in the case of a void transaction for nro debit card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers Click Here.,cards
are there transaction limit for nro debit card,"Subject to the balance in your account, the daily limits are Rs. 25,000 at ATMs and Rs. 1.75 lacs at merchant locations in India. These limits have been set for the security of your card.",cards
can the jetprivilege m n bank world debit card be taken by public private partnership firm,JetPrivilege M&N  Bank Debit Card can be issued to the authorised signatories of public / private / partnership firms.,cards
how will i earn the jpmiles on my jetprivilege m n bank world card,"On your JetPrivilege M&N  Bank World Debit Card, you will earn JPMiles for all your retail spends in the ratio of 2 JPMiles per INR 150 spent.Spends JPMiles will be transferred into your JetPrivilege membership within a period of 40 working days of the transaction date.",cards
when will i get my enrollment benefit on the jetprivilege m n bank world debit card,Your Rs. 750/- discount voucher code will be sent to you to your registered email ID within 7 days of payment of annual fee for your Debit Card.,cards
can a chip card be used for online transaction,Yes the chip card can be used for online transactions. The JetPrivilege M&N  Bank World Debit Card has to be registered for 'MasterCard SecureCodeÃ¢â‚¬â„¢ which ensures safe online transactions after which the card can be used online.,cards
will the discount voucher be applicable only on booking done on,"Yes, the Rs.750 discount voucher can be used only for online booking of a RETURN FLIGHT on Jet Airways flights through Jet Airways websites only. This discount is against the base fare.",cards
what if i want to use my debit card internationally,"RuPay Platinum Debit Card can only be used in India. To get a Debit Card that can be used internationally, please visit the nearest branch and request for a Visa / MasterCard Debit Card. Kindly note all new Visa / MasterCard Debit Cards are only activated for domestic usage, as per RBI guideline. To instantly enable international usage on your Visa / MasterCard Debit Card, please log in to NetBanking > Debit Cards (tab) > Set International / Domestic Usage.",cards
can i use the rupay platinum debit card to pay online,Currently your RuPay Platinum Debit Card can be used to make purchases from Domestic online merchants who have the RuPay PaySecure certification displayed on their website.,cards
where can the rupay platinum debit card be used,This M&N  Bank RuPay Platinum Debit Card is enabled for both domestic and International transactions. You can use your debit card for shopping at Merchant outlet and cash withdrawal at both Domestic and International locations. Additionally your card can be used online on domestic websites.,cards
can i use the rupay atm card at merchant outlet or on ecom website,"No, the ATM card can be used on to withdraw money from ATM machines only. The ATM cards cannot be used for payment at Merchant outlets or on Online payments",cards
what should i do in the case of a void transaction for reward debit card,Just fax us a copy of the void transaction slip. You can also send it to [email protected] or submit the same at your nearest M&N  Bank branch. For PhoneBanking numbers click here.,cards
what are the transaction limit for reward debit card,"The daily limits are Rs. 50,000 at the ATM and Rs. 2, 75,000 at merchant locations as well as online transactions. This is subject to the balance in your account, and is for your account security.",cards
are there charge i should know about m n bank reward debit card,Another benefit of the Rewards Debit card is that there are absolutely no transaction charges when shopping at a merchant location.,cards
can a chip card be used for online transaction,Yes the chip card can be used for online transactions. The M&N  Bank Rewards Debit Card has to be registered for 'Verified by VisaÃ¢â‚¬â„¢ which ensures safe online transactions after which the card can be used online.,cards
what is time point,Times points is a unique loyalty program which allows you to earn reward points for all your digital media usage (create/consume/share etc.) across digital properties of Times Internet Limited,cards
where should i contact or write to know about the existing offer on my card,"You do not have to call or write anywhere, you can know about the list of exciting offers on www.timespoints.com/debit.",cards
where should i contact or write for my doubt or query,"For all Times points related queries, you are requested to write to [email protected]",cards
how can i get my time point debit card,If you are an existing M&N  Bank account holder following are the process to get a Times Points Debit Card: 1. Please visit the nearest M&N  Bank branch and apply for Times Points Debit card 2. Please visit M&N  Bank NetBanking and Upgrade your existing card to Times Points Debit Card 3. Call Phone banking and put a request for new request for Times Points Debit Card(in case you do not have any debit card) or request for upgrade of your card to Times Point Debit card. In case you do not have existing account with M&N  bank then we would request you to visit nearest branch to open an account and request for Times Points Debit card.,cards
except for digital medium consumption what is the other medium of earning time point,M&N  bank Times Points Debit Card gives customer unique opportunity to earn Times Points even when they are not online. Customer can earn times point by simply using their debit card for their all spends on Point of Sale or Ecommerce transaction.,cards
if i hotlist my card will i get deregister from the time point program,"No, your Times Points account will remain active and you can keep using www.timespoint.com as earlier.",cards
how do i reset my password,"An immediate email will be sent to you after the card is issued to you for setting up your password. For resetting or changing the password you will have to login to www.timespoint.com and visit the settings tab. In case you forget the password of your account, you can try for Forget Password and a password reset mail will be sent to you.",cards
why should i take this card,This is an Unique proposition from M&N  Bank and Times Internet Limited to provide you with opportunities to accumulate points while spending as well as using media contents e.g. You can use debit card to buy mobile /laptop etc. and earn Times points or you can surf through the Times Internet Limited properties to earn Times points. The times points can be redeemed on www.timespoint.com against attractive offers and gifts.,cards
how much of time point will i earn for each activity on til,The number of points to be earned for each activity is dynamic and it ranges from 1-5. The points to be earned will be visible to you while you are logged in to your account.,cards
where can i burn my accumulated time point,You can use the accumulated Times points on www.timespoint.com. You will be able to avail attractive offers and gifts using the Times points.,cards
when will i get my enrollment time point,Your enrollment Times points will be credited into your account within 72 hours of the 1st transaction using your Times Points Debit Card. Your account will be credited with one time 500 times point enrolment benefits.,cards
how long can i keep my earned time point,"When you earn points, your points earned are valid for 12 months from the date of earning. The points will expire on the 1st of every month.",cards
what are the term and condition for the offer at my disposal,Please visit www.timespoints.com/debit for present offers and T&C.,cards
what is the validity of the offer,The offers has a validity of Minimum 3 months and maximum of 12 months.,cards
i am already member of time point do i need to register again,"If your e-mail ID in the existing registration on times point and the one given to M&N  Bank is same then you donÃ¢â‚¬â„¢t have to register, however in case of different e-mail ID or no e-mail ID in existing Times Points account, you will be automatically registered on times points using your e-mail ID given to M&N  Bank and a confirmation mail will be sent to your email ID.",cards
which all time group digital property offer time point,"While times points is a constantly growing entity, at present users are rewarded for their digital media usage across pages listed below: www.timesofindia.com www.speakingtree.in www.economictimes.com ww.itimes.com www.maharashtratimes.com www.eisamay.com www.gaana.com www.navgujratsamay.com www.navbharattimes.com",cards
doe customer need to to every time internet limited page for earning time point,Yes. Customer needs to log-in to earn times points for activities done on any website.,cards
where can i check the time point earned for my transaction,You can login to the www.timespoint.com using your username and password to check the times point earned.,cards
what do i do if i have an issue related to the product using time point from,"If there is any issue with the product purchased using Times points, we would request you to write to [email protected] Additionally you can always write to for any problem related to Times Points Debit Card. You are requested to mention your registered email id/ registered mobile no to identify yourself while writing to us to track your issue and resolve the same.",cards
how much am i going to be charged yearly for time point debit card,The annual charges for Times Points Debit Card is Rs. 650/- +Taxes applicable.,cards
how can i earn time point,"Welcome Benefit 500 Times Points will be gifted after you use the card to shop for the first times. Earn Times Points every time you shop. Get 2 Times Points for every Rs. 150 spent. Earn Times Points based on the activities on the Times Internet Limited digital pages. The list of Times Internet Limited digital properties are www.timesofindia.com, www.speakingtree.in, www.economictimes.com , www.itimes.com , www.maharashtratimes.com , www.eisamay.com , www.gaana.com , www.navgujratsamay.com , www.navbharattimes.com Please note, you need to be logged in to your Times Points account for earning Times Points while consuming, sharing & creating content on above listed websites.",cards
if i get a new card reissue will my time point carry forward,"Yes, your accumulated Times point will be carried forward to the new card.",cards
what are the benefit of time point debit card,Your Times Points Debit Card Offers 1. A Welcome benefits to choose one from a bouquet of upto 20 offers 2. You will be entitled to a one time offer of 500 bonus Times points. 3. You will provided with Great deals and discounts all throughout the year. 4. You will be able to redeem your Times points earned from your activities on TIL and Times Debit card Spends and avail attractive offers.,cards
will i get notification about the expiry of my time point,"Yes, you will be notified through email on the expiry of your Times points. The emails notification will be sent to you from Times Internet Limited (TIL).",cards
i am not registered for time point program can i apply for time point debit card,"Yes, you can apply for times points debit card. Basis your e-mail ID and mobile number provided to M&N  Bank, youÃ¢â‚¬â„¢ll be registered for Times Point. An e-mailer will be sent to you with your registration details.",cards
how do i register for time point,"As a Times Points Debit Card holder you will be auto-registered for the Times points loyalty program. The registration will trigger an auto-generated mail to your bank registered email id. Please follow the simple steps (Section A): Please check for an email in your banks registered email inbox sent from Times Points. Please open the email and look for a link for setting up your password. The link will redirect you to www.timespoint.com website and ask you to set your password. Your profile will be completed and you can start earning Times Points for all your surfing and other activities If you are an existing member to Times Points 1) In case you have registered using your mobile number or different email id, you will be auto-registered for the Times points loyalty program with M&N  Bank registered email. Please follow the simple steps mentioned in Section A Kindly note, your existing Times Points account will remain as is and points earn with your existing ID will not be added to your new Times Points account In case you have registered for Times Points account using your same email id which is registered with M&N  bank, you do not need to do any further registration and you will continue to enjoy Times Points benefits",cards
where do i redeem time point,"Please login to www.timespoint.com using your registered email id and follow the simple steps: Click on the redeem tab and view the offers Select an offer and click on Redeem Enter delivery location with pin code verification Mention contact details and click on Ã¢â‚¬Å“ContinueÃ¢â‚¬ Review and confirm your order. On successful redemption you will receive a confirmation on your registered email id. You can manage your Times Points thru an Times Points App available on iOS& Android Platform Please check for the confirmation email In case of query regarding registration to Times Points account, earning and redemption of Times Point please write to [email protected]",cards
is there any time point apps which i can download on my mobile,"Yes, you can download the app for your Android mobile from Google Playstore or for your iPhone from App Store.",cards
if i am having two member id can i merge both the id and point,"No, 2 IDs cannot be merged. The Times Points Debit Card linked Times Points account will be based on your M&N  Bank registered email id. You will have to use the same account to do activity and accumulate times points.",cards
which are the offer i am eligible a a time debit card holder,You will be able to choose one out of more than 20 welcome offers from leading e-com merchants in India. Additionally there will be more than 350 regular offers to avail at any point of time during the year. The minimum discounts on the offers would be 10% in addition to the merchants own discounts.,cards
do i need to mandatorily register,"Yes, to avail the offers and earn times points you need to register and activate the account.",cards
is there any personal accidental death cover for time point debit card holder,Yes. There is an Accelerated insurance cover of 10 lacs in case of death due to by Air / Road / Rail. For more information and Terms and condition you are requested to visit www.M&N bank.com.,cards
what should i share while calling til to identify myself,"Presently we do not have Tele service. You are requested to write to us for any query, request or complain to [email protected]",cards
what do i do if i am not able to avail merchant offer,"Do not worry if you are not able to avail the offers at your disposal. Any issue related merchant or code not working or bar code not getting read, just write to [email protected]",cards
are there any exclusive benefit that come with the time point debit card,The Times Points Debit Card also provides exclusive discounts of minimum 10% throughout the year. These offers can be availed at merchant establishment.,cards
i am already registered for time point program what happens to my existing time point id if i apply for time point debit card,"If the e-mail address in your existing times point account, and the one given to M&N  Bank is same, then all the Times Points earned through debit card transactions will be credited to existing Times Point account. In case of different e-mail addresses, a new Times Point account will be registered using the e-mail ID given to M&N  bank.",cards
what if i forget my atm pin,You can call the M&N  bank PhoneBanking to request for re-issuance of PIN or place a request through Prepaid NetBanking. A new PIN will be sent across to your registered mailing address held on record with the bank.,cards
how can i check the balance on my m n bank forexplus card,"You can check the balance on ForexPlus card with the help of NetBanking facility. You will need to use the card number as user ID & IPIN issued to you as part of the card kit to login to NetBanking facility. Alternately, you can also contact our PhoneBanking services to check the balance on your ForexPlus card.",cards
who can purchase forexplus card,"ForexPlus card can only be used for making payments outside India except for Nepal & Bhutan. Whenever the cardholder is using his card he must be present at the place of transaction & need to sign the chargeslips. Thus, we issue ForexPlus card to customers travelling abroad basis valid documentation proof.",cards
can i load forexplus card by making payment in cash,"No, ForexPlus card cannot be loaded against payment of cash.",cards
how do i know if an atm will accept my forexplus card,ForexPlus cards are accepted at Visa / MasterCard ATMs. Please look out for the VISA/PLUS/MasterCard logo while searching for ATM.,cards
what document should i submit when i purchase the m n bank forexplus card,"M&N  Bank Savings / Current account holders need to just submit completed application form, copy of ticket or the Visa and form A2 (or any other documentation as mandated under prevalant FEMA guidelines)If you don't have M&N  Bank Savings / Current account, you need to submit completed application form, copyof ticket or the Visa and form A2 (or any other Forex documentation as mandated under prevalant FEMA guidelines) as well as a Photocopy of your valid Passport.",cards
how doe this card work,"Your M&N  Bank ForexPlus card will be activated with the required AUD / AED / CAD / CHF/ Euro / GBP / JPY / SGD and USD within 4 hours from the bank getting the clear funds from you. Once actived, the card can be used at any international location for making payments at POS terminals or to withdraw cash at ATMs. (Usage of the card is not allowed in India, Nepal and Bhutan.) M&N  Bank ForexPlus card works just like any Debit / Credit Card for making payments at Merchant Establishments that have an electronic terminal. The transaction amount is deducted from available balance on the ForexPlus card. M&N  Bank ForexPlus card is accepted at all Merchant Establishments displaying the Visa / Mastercard symbol. The card can be used to withdraw cash at all Visa / Mastercard ATMs worldwide. Irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the ATMs. Please ensure that you remember the PIN given to you with the card pack, the PIN is unique for every card and cannot be changed at any domestic or international ATM. View more",cards
can i use the mcc option at the time of transaction,"Whenever ForexPlus cardholder opts for DCC/MCC option on DCC/MCC enabled POS/ATM terminals, his/her transaction passes through cross currency transactions twice. It is not advisable for a ForexPlus cardholder to opt for DCC/MCC while using ForexPlus card for making payments. Please note that every cross currency transaction attracts currency conversion charges at applicable rates. Apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate. View more",cards
